round;sample;ID_plate;centroid_1;centroid_2;growth_rate;peaks;circularity;eccentricity;RGB_mean_1;RGBt_mean_2;RGBt_mean_3;RGBt_std_1;RGBt_std_2;RGBt_std_3;Lab_mean_1;Lab_mean_2;Lab_mean_3;Lab_std_1;Lab_std_2;Lab_std_3;Labt_mean_1;Labt_mean_2;Labt_mean_3;Labt_std_1;Labt_std_2;Labt_std_3;activity_total
2;40ul-nr3;11-13;888;487;0,315896144;17;1,0007;0,17483;245,1536;231,9067;215,24;23,2563;27,3348;31,0025;89,999;4,44731;13,3436;12,0712;4,68824;7,71729;92,8249;3,34873;10,2912;9,60877;2,95967;7,1838;1
2;40ul-nr3;11-14;894;1282;0,314806878;14;1,0227;0,1936;251,771;216,6481;196,8519;14,946;28,8334;27,0844;91,8769;6,02541;11,2447;7,67023;6,12211;5,43788;89,018;9,51573;14,5203;8,66354;8,76022;3,65042;0
2;40ul-nr3;11-19;1242;1654;0,511699815;14;1,0188;0,23051;250,5436;186,6364;159,7091;23,5004;36,2519;30,3154;85,5951;12,392;20,667;8,23374;8,60491;4,34547;80,2935;17,5022;21,9805;11,3688;9,57286;3,8555;0
2;40ul-nr3;11-20;1247;357;0,350875369;9;0,8793;0,56272;133,1164;116,5833;85,125;6,24848;3,96634;1,51263;49,0607;2,96877;19,1615;1,88551;1,55539;2,45223;50,2205;3,16604;20,3276;1,63193;1,72325;2,07955;0
2;40ul-nr3;11-6;732;488;0,05910132;15;1,0261;0,062317;247,1751;228,4167;221,4375;27,4992;32,3188;35,3842;91,5391;6,11103;5,73538;10,1086;3,9685;4,94682;91,9172;5,48942;5,85101;11,4467;3,15671;5,19225;0
2;40ul-nr4;12-1;546;661;0,047144011;7;0,45983;0,20131;131,7075;111,1884;88,63768;15,2164;8,53759;2,68969;46,8935;7,14129;14,6012;2,86704;2,0391;3,5255;49,1349;8,10532;16,865;3,90553;2,40543;4,45266;1
2;40ul-nr4;12-12;1578;882;0,109171463;11;1,037;0,17941;172,1551;139,7059;101,7941;24,1445;15,3614;14,2484;59,073;9,64819;23,2395;5,43586;3,40884;7,12893;61,2523;11,1687;26,3583;6,4784;4,07203;7,82915;1
2;40ul-nr4;12-14;1715;1142;65535;12;1,0105;0,27646;250,0873;233,3958;228,375;29,5521;31,7294;33,2474;93,6753;4,55692;5,28602;8,16757;3,31606;5,29417;93,3043;4,07154;4,21209;11,5719;1,63344;4,35286;1
2;40ul-nr4;12-2;675;948;0,022525948;16;1,0196;0,24718;252,5841;238,0164;231,0492;14,2345;20,5657;23,0705;94,7234;3,54405;7,14367;5,99332;3,19785;4,90917;95,0269;3,91265;5,2209;6,95486;2,87712;3,97507;1
2;40ul-nr4;12-4;742;457;0;13;1,0464;0,20008;249,1797;234,4;231,4;26,4757;30,7194;31,8907;93,2626;5,07718;4,37519;9,31336;3,92652;4,14892;93,7608;4,56294;3,30253;10,982;2,27246;3,08719;1
2;40ul-nr4;12-5;811;624;0,036719388;17;0,99055;0,28343;244,5589;197,6809;162,6596;18,9605;28,2764;27,4538;81,6085;14,5268;24,3483;9,78251;8,16968;5,25298;83,5298;14,0312;24,8454;8,78704;8,42447;4,99569;0
2;40ul-nr4;12-8;968;1503;0,021787258;17;0,71989;0,47162;175,9089;126,2698;98,55556;23,0397;12,1286;6,00746;56,1509;17,8658;21,6698;5,65184;4,1403;5,49497;58,1599;19,369;24,1598;5,78805;3,78852;5,24636;1
2;40ul-nr5;13-12;872;1040;0,586305103;14;0,74351;0,57384;206,4646;152,1136;147,7045;46,7337;43,2856;43,0613;70,7387;14,6841;10,2041;14,3713;4,57251;4,70131;65,6773;13,0691;7,5839;16,6418;3,49204;2,55203;1
2;40ul-nr5;13-13;934;445;0,341593986;20;0,91803;0,17339;228,1711;218,0971;201,2136;35,5338;41,0735;44,6811;81,558;7,74613;14,7401;17,1991;5,58406;7,75211;88,2727;5,39829;11,3055;14,47;4,49598;8,37511;1
2;40ul-nr5;13-16;1121;431;0,600967624;15;1,0169;0,20809;227,5312;204,3488;192;29,6663;34,1278;33,502;79,7028;11,5661;11,5639;13,2388;5,00343;3,8321;84,7789;11,0502;11,0189;11,7657;5,41942;3,75012;1
2;40ul-nr5;13-19;331;615;0,444551248;14;1,0418;0,21816;191,5496;123,5476;100,6905;17,5288;12,5411;11,7939;59,7333;21,7228;21,7546;4,81984;4,46092;4,05791;58,1643;23,1345;23,1194;5,01836;3,98839;4,04889;0
2;40ul-nr5;13-5;608;586;0,184472915;14;0,65069;0,45608;232,5634;216,06;198,94;42,4276;44,961;46,8367;82,5176;8,48422;15,6378;16,0716;6,03237;8,6515;87,4411;5,26992;11,3539;16,2972;4,19741;8,72676;1
2;40ul-nr5;13-9;785;1020;0,181158934;16;1,0054;0,43634;246,657;216,6629;207,9888;39,4208;48,4362;50,7761;89;8,62897;9,3791;11,3024;7,39623;6,32943;87,9747;7,1734;7,5472;17,0326;6,60654;6,61602;0
2;40ul-nr6;14-1;375;749;0,181590256;14;0,62218;0,77509;244,249;142,2473;130,5591;52,1695;45,0332;42,8705;79,1004;21,9377;17,65;13,4845;15,7154;7,16115;67,2187;29,2485;19,9172;16,1412;15,818;7,59192;1
2;40ul-nr6;14-10;844;632;0,630618309;16;1,0144;0,46525;209,9263;149,619;122,746;39,1702;40,0264;37,9278;67,4338;18,2544;24,996;11,0308;6,76689;5,513;65,6241;14,7285;21,443;14,4679;6,88271;4,34821;1
2;40ul-nr6;14-12;1077;1598;0,166986331;25;0,89264;0,24447;219,4231;170,7078;133,8247;31,0037;37,102;37,5362;73,6141;12,7439;25,4917;14,9076;6,6806;5,79014;73,5117;13,9933;26,3612;12,7317;6,2109;5,63417;1
2;40ul-nr6;14-16;1412;1719;1,400949554;15;0,87787;0,58915;204,6156;161,7305;129,8582;47,79;42,9152;36,6732;70,5281;9,74799;22,1786;14,6433;5,65303;5,97683;69,1722;10,9703;22,4181;16,305;5,37517;5,27402;1
2;40ul-nr6;14-17;1609;989;65535;12;1,0152;0,26457;189,3462;147,7593;125,1667;25,0322;15,5429;15,1567;64,7678;12,7983;15,5476;5,984;4,93505;5,89885;65,3134;15,482;19,1789;6,37434;5,8413;6,94;0
2;40ul-nr6;14-2;458;902;0,154021006;15;1,0181;0,26569;235,7011;200,7797;195,7458;30,5686;36,591;38,8226;83,9644;10,6009;8,6381;14,0062;5,58212;5,66799;83,3953;11,2444;7,07228;12,7391;4,74322;4,94166;0
2;40ul-nr6;14-5;582;1020;0,052140608;18;1,0211;0,31717;248,7421;222,037;193,1111;12,7748;29,3682;32,543;87,9374;7,60212;20,1556;8,73373;8,12567;5,84716;90,2802;6,34118;18,2842;8,63015;8,8727;7,26677;1
2;40ul-nr6;14-6;614;902;0,065103261;12;0,44503;0,67326;157,4763;117,1739;97,26087;32,4008;18,9682;14,3031;51,1534;15,6417;17,7236;7,77215;4,11237;3,88385;53,8383;17,2524;18,8667;8,77289;4,67643;4,39815;0
2;40ul-nr6;14-7;721;797;0,14826814;8;0,81415;0,35081;131,0748;96,85714;72,61905;8,01546;5,74705;2,53922;43,5389;11,505;18,8429;1,96838;1,60126;2,16282;44,2528;11,5805;19,6225;2,42526;1,69577;2,30449;1
2;40ul-nr6;14-9;823;572;0,614125516;9;1,0527;0,53739;235,6152;215,4615;192,9231;39,1816;47,2866;45,851;83,5091;8,19478;17,3062;14,0333;6,63403;4,74578;87,1884;4,80688;14,2281;16,6317;5,55929;4,50127;1
2;40ul-nr7;15-1;377;589;0,980668784;7;1,0326;0,50127;156,4187;150,1765;145,4118;24,3818;20,6617;17,3712;59,4464;5,96499;3,23701;6,94324;1,94864;1,9695;63,4336;5,6577;4,83657;8,10244;2,34484;2,52841;0
2;40ul-nr7;15-10;898;1094;0,071259489;17;1,0264;0,19547;249,7094;232,45;217,6667;19,5863;26,6219;27,4459;92,4627;5,32364;7,58359;8,86569;5,09301;4,68484;93,1549;3,96268;9,50617;9,03816;4,31396;4,86747;0
2;40ul-nr7;15-11;989;1592;0,951832029;17;0,80218;0,78953;192,0388;140,0385;125,4423;52,969;31,4583;25,522;63,2325;17,0615;15,4876;7,34134;5,97528;3,93177;62,8942;18,6673;15,878;14,4676;7,39299;6,37296;0
2;40ul-nr7;15-2;474;1482;0,021931094;22;0,96192;0,46339;229,8037;185,8516;166,4839;38,218;33,4648;28,5055;76,857;16,2645;15,6731;11,7008;5,8256;5,1491;79,2635;15,4488;16,7377;12,5221;5,54685;5,29226;0
2;40ul-nr7;15-3;488;934;0,428144197;20;0,97441;0,1638;233,8258;205,0247;168,9753;31,566;38,726;29,733;81,0205;9,60206;21,7599;14,0159;7,01792;5,23474;84,4746;7,71191;22,7444;13,0695;7,75227;4,87229;1
2;40ul-nr8;16-15;1075;1582;0,158956604;13;0,91647;0,51392;154,6844;128,7917;83,16667;13,8262;6,7822;4,07553;53,9965;6,52101;26,0729;4,25669;2,93323;5,78344;56,2811;7,74975;29,807;3,09609;3,23959;5,29058;0
2;40ul-nr8;16-17;1241;794;0,170385069;18;1,0099;0,25909;244,8385;232,9848;222,6818;23,7565;28,9315;34,1419;90,1231;5,26412;10,6183;12,8395;5,77265;7,62054;93,2501;3,99769;7,09325;10,1996;2,41354;6,96477;1
2;40ul-nr8;16-19;1423;1625;0,578623494;9;1,0478;0,32222;170,4716;150,2105;128,4211;26,113;18,7782;13,2846;60,558;8,66526;13,7561;7,48425;3,14275;3,59278;64,5944;9,36537;16,1885;7,7454;2,4055;4,05086;1
2;40ul-nr8;16-2;518;780;0,091607837;17;0,85714;0,14068;201,4642;169,3985;154,2406;37,2074;25,4838;22,0945;68,2972;14,4771;13,4879;10,1479;4,3612;3,42875;73,4928;16,509;14,9871;10,5352;4,11398;3,41438;0
2;40ul-nr8;16-20;1468;1659;0,391466756;13;0,47296;0,44947;133,4668;124,0854;105,4268;17,3085;10,1034;3,08733;50,8184;3,40827;9,78096;3,42482;1,8368;4,28525;53,2885;4,34645;12,8467;4,42319;2,28078;5,56962;0
